"nuts4","nuts3","nazev"
"CZ0100","CZ010","Praha"
"CZ0201","CZ020","Benešov"
"CZ0202","CZ020","Beroun"
"CZ0203","CZ020","Kladno"
"CZ0204","CZ020","Kolín"
"CZ0205","CZ020","Kutná Hora"
"CZ0206","CZ020","Mělník"
"CZ0207","CZ020","Mladá Boleslav"
"CZ0208","CZ020","Nymburk"
"CZ0209","CZ020","Praha-východ"
"CZ020A","CZ020","Praha-západ"
"CZ020B","CZ020","Příbram"
"CZ020C","CZ020","Rakovník"
"CZ0311","CZ031","České Budějovice"
"CZ0312","CZ031","Český Krumlov"
"CZ0313","CZ031","Jindřichův Hradec"
"CZ0314","CZ031","Písek"
"CZ0315","CZ031","Prachatice"
"CZ0316","CZ031","Strakonice"
"CZ0317","CZ031","Tábor"
"CZ0321","CZ032","Domažlice"
"CZ0322","CZ032","Klatovy"
"CZ0323","CZ032","Plzeň-město"
"CZ0324","CZ032","Plzeň-jih"
"CZ0325","CZ032","Plzeň-sever"
"CZ0326","CZ032","Rokycany"
"CZ0327","CZ032","Tachov"
"CZ0411","CZ041","Cheb"
"CZ0412","CZ041","Karlovy Vary"
"CZ0413","CZ041","Sokolov"
"CZ0421","CZ042","Děčín"
"CZ0422","CZ042","Chomutov"
"CZ0423","CZ042","Litoměřice"
"CZ0424","CZ042","Louny"
"CZ0425","CZ042","Most"
"CZ0426","CZ042","Teplice"
"CZ0427","CZ042","Ústí nad Labem"
"CZ0511","CZ051","Česká Lípa"
"CZ0512","CZ051","Jablonec nad Nisou"
"CZ0513","CZ051","Liberec"
"CZ0514","CZ051","Semily"
"CZ0521","CZ052","Hradec Králové"
"CZ0522","CZ052","Jičín"
"CZ0523","CZ052","Náchod"
"CZ0524","CZ052","Rychnov nad Kněžnou"
"CZ0525","CZ052","Trutnov"
"CZ0531","CZ053","Chrudim"
"CZ0532","CZ053","Pardubice"
"CZ0533","CZ053","Svitavy"
"CZ0534","CZ053","Ústí nad Orlicí"
"CZ0631","CZ063","Havlíčkův Brod"
"CZ0632","CZ063","Jihlava"
"CZ0633","CZ063","Pelhřimov"
"CZ0634","CZ063","Třebíč"
"CZ0635","CZ063","Žďár nad Sázavou"
"CZ0641","CZ064","Blansko"
"CZ0642","CZ064","Brno-město"
"CZ0643","CZ064","Brno-venkov"
"CZ0644","CZ064","Břeclav"
"CZ0645","CZ064","Hodonín"
"CZ0646","CZ064","Vyškov"
"CZ0647","CZ064","Znojmo"
"CZ0711","CZ071","Jeseník"
"CZ0712","CZ071","Olomouc"
"CZ0713","CZ071","Prostějov"
"CZ0714","CZ071","Přerov"
"CZ0715","CZ071","Šumperk"
"CZ0721","CZ072","Kroměříž"
"CZ0722","CZ072","Uherské Hradiště"
"CZ0723","CZ072","Vsetín"
"CZ0724","CZ072","Zlín"
"CZ0801","CZ080","Bruntál"
"CZ0802","CZ080","Frýdek-Místek"
"CZ0803","CZ080","Karviná"
"CZ0804","CZ080","Nový Jičín"
"CZ0805","CZ080","Opava"
"CZ0806","CZ080","Ostrava-město"
