"krajId","nuts3","nazev","okrsky","zpracovano","pocetVolicu","vydaneObalky","ucast","odevzdaneObalky","platneHlasy"
1,"CZ010","Hlavní město Praha",1116,1116,907999,347892,38.31,347714,345558
2,"CZ020","Středočeský kraj",2063,2063,1036947,313669,30.25,313578,311493
3,"CZ031","Jihočeský kraj",1260,1260,511773,148345,28.99,148288,147224
4,"CZ032","Plzeňský kraj",1087,1087,453212,126726,27.96,126691,125754
5,"CZ041","Karlovarský kraj",344,344,232989,54028,23.19,54004,53535
6,"CZ042","Ústecký kraj",1045,1045,648317,142869,22.04,142810,141720
7,"CZ051","Liberecký kraj",583,583,348118,98555,28.31,98517,97800
8,"CZ052","Královéhradecký kraj",927,927,441611,133859,30.31,133815,132761
9,"CZ053","Pardubický kraj",876,876,410354,118232,28.81,118172,117292
10,"CZ063","Kraj Vysočina",1137,1137,409780,121240,29.59,121216,120408
11,"CZ064","Jihomoravský kraj",1404,1404,947994,280027,29.54,279886,278155
12,"CZ071","Olomoucký kraj",932,932,511768,135217,26.42,135152,134219
13,"CZ072","Zlínský kraj",685,685,474868,134600,28.34,134571,133757
14,"CZ080","Moravskoslezský kraj",1307,1307,981007,233045,23.76,232964,231089
15,"","",14766,14766,8316737,2388304,28.72,2387378,2370765
